Reported Issue #,Workorder #,Current Status,Open Date-Time,Resolved Date,Days Open,Report Source,Issue Type,Issue Sub-Type,Department Work Group,Incident Address,Latitude,Longitude,Lat-Long,Additional Questions,Last Updated
1360595,,new,01/24/2023 10:26:00 AM,,6,Phone Answered,Administration or Questions,Minor Home Repair Program Questions/Inquiries,311 Research,,,,,,01/24/2023 04:26:07 PM
1311263,195281,canceled,12/14/2022 07:59:00 PM,,5,Android,Streetlights,1 light out,PW Streetlights,1290 W Gregory Blvd Kansas City 64114,39.00028329,-94.60795864,POINT (-94.60795864 39.00028329),,12/18/2022 03:00:17 AM
1388423,,resolved,02/14/2023 03:03:00 PM,02/16/2023 12:00:00 AM,2,Phone Answered,311 Research and Investigation,Management Review,311 Research,,,,,,02/16/2023 09:32:32 PM
1359144,,new,01/23/2023 12:21:00 PM,,1,Phone Answered,Administration or Questions,Minor Home Repair Program Questions/Inquiries,311 Research,,,,,,01/23/2023 06:21:11 PM
968376,,resolved,03/18/2022 08:08:00 AM,03/22/2022 12:00:00 AM,4,Phone Answered,Administration or Questions,Finance,311 Research,,,,,"{""Type of Issue"":""Other""}",03/22/2022 07:23:34 PM
1387803,,resolved,02/14/2023 11:00:00 AM,03/01/2023 12:00:00 AM,15,Phone Answered,Administration or Questions,PIAC,311 Research,,,,,"{""Do we need to mail the form?"":""Yes"",""If yes, what is the mailing address?"":""P.O. Box 482024 KCMO 64145"",""If no, what is the issue and\/or PIAC number?"":""Street Resurfacing for Walnut Dr from""}",03/01/2023 10:31:01 PM
1246153,,resolved,10/20/2022 12:22:00 PM,11/01/2022 12:00:00 AM,11,Phone Answered,Water Service,Account or Billing Questions,Water Services Department,,,,,,11/01/2022 05:10:05 PM
1396697,,resolved,02/21/2023 05:19:00 PM,02/22/2023 12:00:00 AM,1,Phone Answered,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Concern"",""Please provide address and location information if needed for this report"":""Agnes Ave""}",02/22/2023 08:57:58 PM
1386491,,resolved,02/13/2023 12:19:00 PM,02/13/2023 12:00:00 AM,0,Phone Answered,311 Research and Investigation,Management Review,311 Research,,,,,,02/13/2023 09:37:51 PM
1185316,183997,resolved,09/01/2022 02:01:00 PM,09/01/2022 12:00:00 AM,0,Android,Street Maintenance,Resurface Streets,PW Permits,428 NW Englewood Rd Kansas City 64118,39.19616983,-94.58586629,POINT (-94.58586629 39.19616983),,09/01/2022 09:14:35 PM
1386269,,resolved,02/13/2023 11:11:00 AM,02/16/2023 12:00:00 AM,3,Phone Answered,Water Service,Account or Billing Questions,Water Services Department,,,,,,02/16/2023 03:00:13 PM
1244929,,resolved,10/20/2022 06:53:00 AM,10/24/2022 12:00:00 AM,3,Phone Answered,Administration or Questions,KC Water,311 Research,,,,,"{""Type"":""Question"",""Please provide address and location information if needed for this report"":""3200 N Ameristar Dr.""}",10/24/2022 08:59:53 PM
586225,,resolved,04/15/2021 06:02:00 PM,04/15/2021 12:00:00 AM,-1,Phone Answered,Administration or Questions,Finance,311 Research,,,,,"{""Type of Issue"":""Other""}",05/17/2021 01:37:29 PM
1385537,,resolved,02/12/2023 04:36:00 PM,03/03/2023 12:00:00 AM,19,WEB RAI,Vehicles and Parking,Feedback or Question,KCPD Parking Control,,,,,"{""Location or area of concern"":""112th St. and N. Ditman Ave, North Hampton subdivision""}",03/03/2023 11:27:19 PM
1307972,,resolved,12/12/2022 03:21:00 PM,12/13/2022 12:00:00 AM,1,Email,Water Service,Account or Billing Questions,Water Services Department,,,,,,12/13/2022 04:02:30 PM
540744,,resolved,03/06/2021 08:08:00 PM,,3,WEB RAI,Food Safety,Restaurant,Health Food Safety,"717 S 2nd Street Wakeeny, Kansas Kansas City 67672",39.01309037,-99.88918889,POINT (-99.88918889 39.01309037),"{""Name of Restaurant"":""The Brazen Bull"",""When did you eat here?"":""03-06-2021 08:00 PM"",""Select all that apply"":""Other""}",03/25/2021 07:09:46 PM
1394557,,resolved,02/20/2023 11:57:00 AM,02/21/2023 12:00:00 AM,1,Android,311 Request Update,,311 Research,,,,,"[{""caption"":""What is your request number?"",""type"":3,""sort_order"":1,""enterdValue"":""215587""},{""caption"":""If you do not have your request number, please provide us the location reported."",""type"":3,""sort_order"":2,""enterdValue"":""""},{""caption"":""How would you like us to contact you?"",""type"":4,""sort_order"":3,""enterdValue"":""Phone Call""},{""caption"":""Please provide us the contact information for your preferred method."",""type"":3,""sort_order"":4,""enterdValue"":""913 980 4518 ""}]",02/21/2023 06:38:36 PM
1143643,179254,resolved,07/31/2022 05:08:00 PM,08/09/2022 12:00:00 AM,9,Android,Street Maintenance,Pothole,PW Permits,5460 Blue Ridge Ctof Kansas City 64129,39.02375641,-94.48149718,POINT (-94.48149718 39.02375641),"[{""caption"":""Number of Potholes"",""type"":4,""sort_order"":1,""enterdValue"":""One Pothole""},{""caption"":""Location"",""type"":4,""sort_order"":2,""enterdValue"":""Street""}]",08/16/2022 05:03:05 AM
1394457,,referred,02/20/2023 10:42:00 AM,,3,iOS,Administration or Questions,KCPD,311 Research,,,,,"{""Type"":""Concern"",""Provide address or location information if needed"":""Illegal parking - neighbor is using driveway\/neighborhood to park his 2 semi trucks. Address: 2517 Oakley ave""}",02/21/2023 09:48:37 PM
769568,,resolved,09/08/2021 10:15:00 AM,09/13/2021 12:00:00 AM,4,WEB RAI,Administration or Questions,KC Water,311 Research,,,,,,09/13/2021 09:20:04 PM
1242332,,new,10/18/2022 11:47:00 AM,,5,Phone Answered,Administration or Questions,Housing,311 Research,,,,,"{""Issue or Question"":""Home Repair Programs""}",10/18/2022 04:56:18 PM
1384146,,resolved,02/10/2023 02:24:00 PM,02/13/2023 12:00:00 AM,3,Phone Answered,Administration or Questions,City Planning and Development,311 Research,,,,,"{""Type"":""Other"",""Please provide the address or intersection information if applicable to this report."":""4706 Holly Street KCMO 64112""}",02/13/2023 03:58:26 PM
588546,,resolved,04/18/2021 01:47:00 AM,,0,WEB RAI,Health Code Violations,Violations of COVID-19 Guidelines,Health Environmental Services,7201 w 79th st Overland Park Kansas City 66212,38.94901337,-94.69270525,POINT (-94.69270525 38.94901337),"{""Concern"":""Masks not worn"",""When did you observe violations?"":""04-17-2021 07:00 PM"",""Business Name"":""Maloneys Overland Park, KS""}",05/17/2021 01:34:07 PM
1500632,,new,05/03/2023 08:00:00 AM,,5,Phone Answered,Administration or Questions,How's My Driving,311 Research,,,,,"{In order to complete an investigation|  please provide license plate number"":""60024""|""Vehicle Description"":""White SUV""|""Location"":""12th & Locust""|""Date and time of incident"":""05-03-2023 07:20 AM""}""",05/03/2023 01:00:18 PM
1107306,174708,resolved,07/03/2022 05:48:00 PM,09/26/2022 12:00:00 AM,85,iOS,Street Maintenance,Mowing on the Right of Way,PW Permits,8650 E 67th Ter Kansas City 64133,39.001524,-94.482492,POINT (-94.482492 39.001524),"[{""caption"":""Are weeds or brush causing a visibility problem?"",""type"":1,""sort_order"":1,""enterdValue"":""1""}]",09/26/2022 02:28:23 PM
1103432,174313,resolved,06/29/2022 09:31:00 PM,10/08/2022 12:00:00 AM,101,WEB RAI,Street Maintenance,Pothole,PW Permits,7915 State Line Rd Kansas City 64114,38.98503279,-94.60824966,POINT (-94.60824966 38.98503279),"{""Number of Potholes"":""Entire Block"",""Location"":""Street""}",10/08/2022 05:15:38 PM
1103427,174310,resolved,06/29/2022 09:29:00 PM,07/22/2022 12:00:00 AM,23,WEB RAI,Street Maintenance,Pothole,PW Permits,9911 State Line Rd Kansas City 64114,38.94819538,-94.60842133,POINT (-94.60842133 38.94819538),"{""Number of Potholes"":""Entire Block"",""Location"":""Street""}",07/22/2022 02:56:25 PM
1241320,,resolved,10/17/2022 03:48:00 PM,10/25/2022 12:00:00 AM,7,iOS,Administration or Questions,KC Water,311 Research,,,,,,10/25/2022 06:58:42 PM
